Ticker
AAPL.O
MSFT.O
AMZN.O
GOOGL.O
FB.O
V.N
JNJ.N
WMT.N
JPM.N
PG.N
MA.N
UNH.N
INTC.O
VZ.N
T.N
HD.N
BAC.N
KO.N
MRK.N
PFE.N
DIS.N
PEP.O
XOM.N
CSCO.O
CMCSA.O
ORCL.N
NFLX.O
NVDA.O
CVX.N
ADBE.O
ABT.N
LLY.N
CRM.N
MCD.N
WFC.N
NKE.N
COST.O
BMY.N
AMGN.O
TMO.N
PYPL.O
NEE.N
ABBV.N
PM.N
AMT.N
IBM.N
LMT.N
TSLA.O
UNP.N
HON.N
